period,BAT,COL,NG,NUC,OTH,SUN,UES,WAT,WND,total
2025-02-16 08:00:00,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2025-02-16 09:00:00,169.0,6076.0,12290.0,5119.0,6.0,1.0,-763.0,0.0,24124.0,47022.0
2025-02-16 10:00:00,96.0,6903.0,13271.0,5120.0,5.0,1.0,-1132.0,0.0,23468.0,47732.0
2025-02-16 11:00:00,67.0,7666.0,13319.0,5120.0,7.0,1.0,-363.0,0.0,23055.0,48872.0
2025-02-16 12:00:00,96.0,8845.0,15253.0,5120.0,7.0,1.0,-387.0,0.0,21685.0,50620.0
2025-02-16 13:00:00,690.0,9156.0,17560.0,5120.0,8.0,1.0,-388.0,0.0,20783.0,52930.0
2025-02-16 14:00:00,2481.0,9642.0,19007.0,5121.0,7.0,1700.0,-533.0,0.0,17642.0,55067.0
2025-02-16 15:00:00,338.0,7934.0,15742.0,5121.0,7.0,12974.0,-1050.0,0.0,15159.0,56225.0
2025-02-16 16:00:00,50.0,5885.0,11352.0,5122.0,9.0,20455.0,-1394.0,0.0,14612.0,56091.0
2025-02-16 17:00:00,75.0,5789.0,10633.0,5122.0,9.0,22489.0,-1101.0,0.0,11748.0,54764.0
2025-02-16 18:00:00,19.0,6053.0,10242.0,5122.0,9.0,23729.0,-906.0,0.0,8878.0,53146.0
2025-02-16 19:00:00,74.0,5996.0,9971.0,5121.0,9.0,23832.0,-537.0,0.0,7225.0,51691.0
2025-02-16 20:00:00,62.0,5441.0,10176.0,5114.0,9.0,23738.0,-590.0,0.0,6243.0,50193.0
2025-02-16 21:00:00,122.0,4983.0,9856.0,5112.0,9.0,24128.0,-1190.0,0.0,5914.0,48934.0
2025-02-16 22:00:00,152.0,4584.0,10432.0,5112.0,9.0,23211.0,-1130.0,0.0,5839.0,48209.0
2025-02-16 23:00:00,206.0,4629.0,13313.0,5112.0,10.0,20088.0,-617.0,12.0,5607.0,48360.0
2025-02-17 00:00:00,1118.0,6782.0,22352.0,5112.0,11.0,8520.0,-138.0,115.0,5901.0,49773.0
2025-02-17 01:00:00,3165.0,8822.0,27821.0,5112.0,11.0,339.0,-143.0,217.0,7295.0,52639.0
2025-02-17 02:00:00,1909.0,8920.0,27579.0,5112.0,11.0,0.0,-195.0,132.0,10658.0,54126.0
2025-02-17 03:00:00,624.0,8830.0,26538.0,5112.0,11.0,0.0,-224.0,106.0,13768.0,54765.0
2025-02-17 04:00:00,314.0,8903.0,25523.0,5113.0,10.0,0.0,-284.0,6.0,15079.0,54664.0
2025-02-17 05:00:00,162.0,8878.0,23831.0,5112.0,10.0,0.0,-592.0,0.0,16149.0,53550.0
2025-02-17 06:00:00,77.0,8100.0,22491.0,5108.0,10.0,0.0,-613.0,0.0,17240.0,52413.0
2025-02-17 07:00:00,40.0,7155.0,21254.0,5111.0,11.0,0.0,-886.0,0.0,19252.0,51937.0
2025-02-17 08:00:00,13.0,6555.0,20539.0,5113.0,12.0,0.0,-1530.0,0.0,21108.0,51810.0
2025-02-17 09:00:00,37.0,6151.0,19890.0,5114.0,12.0,0.0,-1214.0,0.0,22311.0,52301.0
2025-02-17 10:00:00,45.0,6217.0,19962.0,5113.0,12.0,0.0,-679.0,0.0,22598.0,53268.0
2025-02-17 11:00:00,82.0,6548.0,20733.0,5114.0,11.0,0.0,-348.0,0.0,22626.0,54766.0
2025-02-17 12:00:00,233.0,7562.0,21847.0,5114.0,12.0,1.0,-148.0,6.0,22895.0,57522.0
2025-02-17 13:00:00,1660.0,8727.0,22928.0,5114.0,12.0,1.0,-242.0,89.0,22826.0,61115.0
2025-02-17 14:00:00,2477.0,8636.0,22114.0,5114.0,12.0,2001.0,-196.0,89.0,22556.0,62803.0
2025-02-17 15:00:00,514.0,6590.0,16133.0,5114.0,11.0,13784.0,-388.0,2.0,19526.0,61286.0
2025-02-17 16:00:00,296.0,5897.0,10345.0,5114.0,11.0,19874.0,-738.0,0.0,18312.0,59111.0
2025-02-17 17:00:00,219.0,5725.0,8625.0,5115.0,11.0,19842.0,-798.0,0.0,18093.0,56832.0
2025-02-17 18:00:00,19.0,5377.0,7807.0,5115.0,12.0,19514.0,-1024.0,0.0,17520.0,54340.0
2025-02-17 19:00:00,19.0,5024.0,7664.0,5114.0,12.0,17936.0,-1458.0,0.0,17904.0,52215.0
2025-02-17 20:00:00,36.0,5051.0,7731.0,5113.0,12.0,15744.0,-2216.0,0.0,18930.0,50401.0
2025-02-17 21:00:00,68.0,5208.0,7697.0,5113.0,12.0,14426.0,-2216.0,0.0,18944.0,49252.0
2025-02-17 22:00:00,130.0,5284.0,7771.0,5112.0,12.0,11505.0,-760.0,0.0,19467.0,48521.0
2025-02-17 23:00:00,73.0,5294.0,8556.0,5112.0,11.0,9888.0,-550.0,18.0,20479.0,48881.0
2025-02-18 00:00:00,307.0,5619.0,11057.0,5112.0,11.0,4905.0,-337.0,44.0,23195.0,49913.0
2025-02-18 01:00:00,1765.0,6993.0,13879.0,5112.0,12.0,251.0,-187.0,18.0,24296.0,52139.0
2025-02-18 02:00:00,1100.0,7284.0,13917.0,5112.0,11.0,1.0,-285.0,18.0,26273.0,53431.0
2025-02-18 03:00:00,555.0,7159.0,13707.0,5111.0,11.0,0.0,-175.0,14.0,26566.0,52948.0
2025-02-18 04:00:00,144.0,7135.0,13268.0,5111.0,12.0,0.0,-253.0,0.0,26356.0,51773.0
2025-02-18 05:00:00,138.0,6697.0,11869.0,5112.0,11.0,0.0,-343.0,0.0,25976.0,49460.0
2025-02-18 06:00:00,141.0,6317.0,10868.0,5113.0,11.0,0.0,-951.0,0.0,25795.0,47294.0
2025-02-18 07:00:00,69.0,6465.0,9645.0,5113.0,12.0,0.0,-838.0,0.0,25314.0,45780.0
2025-02-18 08:00:00,51.0,6368.0,9315.0,5114.0,12.0,0.0,-1029.0,0.0,24780.0,44611.0
2025-02-18 09:00:00,63.0,5707.0,9252.0,5114.0,11.0,0.0,-725.0,0.0,24597.0,44019.0
2025-02-18 10:00:00,82.0,6030.0,10174.0,5113.0,12.0,1.0,-223.0,0.0,22776.0,43965.0
2025-02-18 11:00:00,132.0,6749.0,11690.0,5113.0,12.0,1.0,-194.0,0.0,21248.0,44751.0
2025-02-18 12:00:00,255.0,6983.0,13919.0,5113.0,11.0,1.0,-157.0,1.0,20966.0,47092.0
2025-02-18 13:00:00,945.0,8506.0,16681.0,5113.0,11.0,0.0,-143.0,12.0,19372.0,50497.0
2025-02-18 14:00:00,1628.0,9081.0,16199.0,5113.0,11.0,240.0,-123.0,6.0,19632.0,51787.0
2025-02-18 15:00:00,418.0,8524.0,15163.0,5113.0,11.0,3237.0,-634.0,0.0,19846.0,51678.0
2025-02-18 16:00:00,381.0,7715.0,13969.0,5113.0,11.0,6755.0,-426.0,0.0,18243.0,51761.0
2025-02-18 17:00:00,243.0,7409.0,14654.0,5114.0,25.0,7432.0,-345.0,28.0,17205.0,51765.0
2025-02-18 18:00:00,71.0,7378.0,14093.0,5113.0,49.0,8401.0,-497.0,14.0,17100.0,51722.0
2025-02-18 19:00:00,172.0,7508.0,13408.0,5113.0,61.0,8647.0,-530.0,0.0,17884.0,52263.0
2025-02-18 20:00:00,149.0,7787.0,13710.0,5111.0,60.0,8346.0,-1246.0,0.0,18901.0,52818.0
2025-02-18 21:00:00,168.0,8400.0,14515.0,5111.0,60.0,7664.0,-1208.0,0.0,18791.0,53501.0
2025-02-18 22:00:00,194.0,7770.0,15117.0,5111.0,61.0,7243.0,-635.0,0.0,19339.0,54200.0
2025-02-18 23:00:00,163.0,7686.0,17605.0,5112.0,62.0,6349.0,-743.0,17.0,20178.0,56429.0
2025-02-19 00:00:00,318.0,7969.0,21858.0,5111.0,61.0,3267.0,-337.0,45.0,20452.0,58744.0
2025-02-19 01:00:00,1468.0,9366.0,25948.0,5111.0,62.0,268.0,-247.0,44.0,19166.0,61186.0
2025-02-19 02:00:00,1139.0,9991.0,27606.0,5111.0,61.0,0.0,-180.0,18.0,18905.0,62651.0
2025-02-19 03:00:00,746.0,10140.0,28201.0,5111.0,61.0,0.0,-128.0,14.0,19328.0,63473.0
2025-02-19 04:00:00,401.0,10179.0,28124.0,5111.0,61.0,0.0,-140.0,0.0,19559.0,63295.0
2025-02-19 05:00:00,370.0,10007.0,28183.0,5111.0,58.0,0.0,-135.0,0.0,18784.0,62378.0
2025-02-19 06:00:00,246.0,9906.0,28328.0,5112.0,58.0,0.0,-240.0,0.0,18353.0,61763.0
2025-02-19 07:00:00,469.0,10146.0,26701.0,5112.0,57.0,0.0,-649.0,0.0,19385.0,61221.0
2025-02-19 08:00:00,354.0,10206.0,25552.0,5112.0,57.0,0.0,-1147.0,0.0,21260.0,61394.0
2025-02-19 09:00:00,284.0,10369.0,25266.0,5113.0,58.0,0.0,-1399.0,14.0,22439.0,62144.0
2025-02-19 10:00:00,307.0,10278.0,26064.0,5113.0,61.0,0.0,-943.0,18.0,21977.0,62875.0
2025-02-19 11:00:00,443.0,9881.0,28226.0,5113.0,90.0,0.0,-651.0,18.0,21612.0,64732.0
2025-02-19 12:00:00,846.0,10090.0,30479.0,5114.0,111.0,0.0,-465.0,18.0,21123.0,67316.0
2025-02-19 13:00:00,2044.0,10585.0,33668.0,5115.0,115.0,0.0,-347.0,0.0,20298.0,71478.0
2025-02-19 14:00:00,2787.0,10776.0,36107.0,5115.0,115.0,216.0,-178.0,83.0,19019.0,74040.0
2025-02-19 15:00:00,585.0,10808.0,37853.0,5109.0,112.0,2396.0,-356.0,90.0,18386.0,74983.0
2025-02-19 16:00:00,147.0,10731.0,36429.0,5110.0,113.0,5624.0,-894.0,88.0,18265.0,75613.0
2025-02-19 17:00:00,156.0,10558.0,36298.0,5109.0,113.0,8255.0,-1656.0,90.0,17510.0,76433.0
2025-02-19 18:00:00,99.0,10432.0,34879.0,5110.0,113.0,10290.0,-2105.0,103.0,17807.0,76728.0
2025-02-19 19:00:00,45.0,10307.0,32672.0,5110.0,100.0,11855.0,-1649.0,1.0,17850.0,76291.0
2025-02-19 20:00:00,105.0,10262.0,31382.0,5109.0,83.0,12825.0,-1445.0,0.0,17280.0,75601.0
2025-02-19 21:00:00,82.0,10290.0,31204.0,5110.0,62.0,13250.0,-1837.0,0.0,16379.0,74540.0
2025-02-19 22:00:00,74.0,10275.0,31212.0,5111.0,58.0,12892.0,-1264.0,0.0,15021.0,73379.0
2025-02-19 23:00:00,131.0,10240.0,33547.0,5111.0,59.0,11125.0,-575.0,0.0,13755.0,73393.0
2025-02-20 00:00:00,260.0,10426.0,39866.0,5111.0,80.0,5581.0,-378.0,71.0,13016.0,74033.0
2025-02-20 01:00:00,1750.0,10865.0,44835.0,5111.0,103.0,363.0,-122.0,115.0,12246.0,75266.0
2025-02-20 02:00:00,1747.0,11213.0,46586.0,5112.0,108.0,0.0,-104.0,117.0,11644.0,76423.0
2025-02-20 03:00:00,1633.0,11439.0,47091.0,5112.0,114.0,0.0,-92.0,97.0,10896.0,76290.0
2025-02-20 04:00:00,524.0,11515.0,48142.0,5115.0,115.0,0.0,-376.0,90.0,9854.0,74979.0
2025-02-20 05:00:00,97.0,11335.0,48063.0,5116.0,116.0,0.0,-1456.0,90.0,9852.0,73213.0
2025-02-20 06:00:00,143.0,11177.0,46786.0,5117.0,110.0,0.0,-1558.0,88.0,10104.0,71967.0
2025-02-20 07:00:00,130.0,11518.0,45762.0,5118.0,116.0,0.0,-1660.0,90.0,9888.0,70962.0
2025-02-20 08:00:00,46.0,11601.0,45434.0,5117.0,116.0,0.0,-1446.0,89.0,9639.0,70596.0
2025-02-20 09:00:00,51.0,11443.0,45080.0,5118.0,116.0,0.0,-743.0,99.0,10069.0,71233.0
2025-02-20 10:00:00,70.0,11422.0,44986.0,5118.0,116.0,1.0,-352.0,108.0,10606.0,72075.0
2025-02-20 11:00:00,96.0,11433.0,46116.0,5119.0,116.0,1.0,-322.0,108.0,11000.0,73667.0
2025-02-20 12:00:00,427.0,11296.0,47469.0,5119.0,116.0,1.0,-217.0,146.0,10819.0,75176.0
2025-02-20 13:00:00,2951.0,11444.0,48817.0,5120.0,116.0,1.0,-108.0,205.0,9990.0,78536.0
2025-02-20 14:00:00,3574.0,11524.0,48664.0,5120.0,116.0,1586.0,-226.0,206.0,9397.0,79961.0
2025-02-20 15:00:00,1037.0,11170.0,42489.0,5120.0,109.0,10166.0,-484.0,177.0,9130.0,78914.0
2025-02-20 16:00:00,211.0,10539.0,36911.0,5120.0,83.0,16553.0,-499.0,121.0,8044.0,77083.0
2025-02-20 17:00:00,137.0,10703.0,32950.0,5124.0,60.0,19895.0,-895.0,88.0,6914.0,74976.0
2025-02-20 18:00:00,26.0,10711.0,30624.0,5126.0,60.0,21829.0,-1725.0,89.0,5519.0,72259.0
2025-02-20 19:00:00,210.0,10577.0,28044.0,5126.0,59.0,22655.0,-2363.0,89.0,4830.0,69227.0
2025-02-20 20:00:00,58.0,9952.0,26073.0,5126.0,59.0,22675.0,-2074.0,88.0,4699.0,66656.0
2025-02-20 21:00:00,111.0,8587.0,25487.0,5122.0,58.0,21825.0,-1411.0,89.0,4638.0,64506.0
2025-02-20 22:00:00,140.0,8356.0,25302.0,5121.0,58.0,20901.0,-1045.0,88.0,4501.0,63422.0
2025-02-20 23:00:00,93.0,9377.0,27498.0,5121.0,60.0,17515.0,-484.0,89.0,4650.0,63919.0
